,creeps,xp,gold
0,"{'10-20': 5.1, '0-10': 2.3, '20-30': 3.4}","{'10-20': 322.5, '0-10': 301.3, '20-30': 697.3}","{'10-20': 329.3, '0-10': 226.8, '20-30': 432.9}"
1,"{'10-20': 3.2, '0-10': 1.6}","{'10-20': 518.9, '0-10': 299.79999999999995}","{'10-20': 492, '0-10': 308.70000000000005}"
2,{'0-10': 2},{'0-10': 688},{'0-10': 519}
3,"{'10-20': 0.4, '0-10': 0, '20-30': 0.4}","{'10-20': 310.8, '0-10': 291.1, '20-30': 484.7}","{'10-20': 215.3, '0-10': 143.1, '20-30': 281.20000000000005}"
4,"{'10-20': 4.7, '0-10': 6.9, '30-end': 4.9, '20-30': 4.1}","{'10-20': 330.29999999999995, '0-10': 393.29999999999995, '30-end': 473.7, '20-30': 510.5}","{'10-20': 317.7, '0-10': 281.6, '30-end': 390.9, '20-30': 400.7}"
5,"{'10-20': 2.7, '0-10': 1.4, '20-30': 2.1}","{'10-20': 409.5, '0-10': 312.9, '20-30': 540.2}","{'10-20': 328.8, '0-10': 240.10000000000002, '20-30': 401.4}"
6,"{'10-20': 0.30000000000000004, '0-10': 1.3}","{'10-20': 324.70000000000005, '0-10': 275.3}","{'10-20': 372.5, '0-10': 260.7}"
7,"{'10-20': 0.6, '0-10': 1}","{'10-20': 415.4, '0-10': 273}","{'10-20': 401.79999999999995, '0-10': 227}"
8,"{'10-20': 0.30000000000000004, '0-10': 0}","{'10-20': 520.9, '0-10': 305.8}","{'10-20': 407.7, '0-10': 251.3}"
9,"{'10-20': 2.8, '0-10': 1.5}","{'10-20': 464.70000000000005, '0-10': 328.1}","{'10-20': 407.9, '0-10': 177.6}"
10,"{'10-20': 1.3, '0-10': 1.4}","{'10-20': 277, '0-10': 297.5}","{'10-20': 261.70000000000005, '0-10': 194.3}"
11,{'0-10': 1.3},{'0-10': 256.5},{'0-10': 225.2}
12,"{'10-20': 0.3, '0-10': 0.2}","{'10-20': 406.9, '0-10': 305}","{'10-20': 292.79999999999995, '0-10': 207.5}"
13,"{'10-20': 3.6, '0-10': 6.5}","{'10-20': 348, '0-10': 309}","{'10-20': 279.8, '0-10': 237.3}"
14,"{'10-20': 0.9, '0-10': 0}","{'10-20': 371.2, '0-10': 246.60000000000002}","{'10-20': 268, '0-10': 152.3}"
15,"{'10-20': 5.4, '0-10': 5.6, '30-end': 3, '20-30': 3.8}","{'10-20': 422.4, '0-10': 386.9, '30-end': 749.6, '20-30': 501.4}","{'10-20': 256.6, '0-10': 263.5, '30-end': 340.4, '20-30': 448.3}"
16,"{'10-20': 7.4, '0-10': 6.7}","{'10-20': 513.7, '0-10': 460.6}","{'10-20': 469.8, '0-10': 332.1}"
17,"{'10-20': 6.199999999999999, '0-10': 6.7}","{'10-20': 494.20000000000005, '0-10': 445.1}","{'10-20': 454.20000000000005, '0-10': 267.2}"
18,"{'10-20': 9, '0-10': 7.5}","{'10-20': 591.5, '0-10': 457.4}","{'10-20': 460.8, '0-10': 304.3}"
19,"{'10-20': 6.8999999999999995, '0-10': 7.300000000000001}","{'10-20': 473.4, '0-10': 457.8}","{'10-20': 417.5, '0-10': 278.5}"
20,"{'10-20': 7.5, '0-10': 6.1}","{'10-20': 519.7, '0-10': 407.70000000000005}","{'10-20': 392.9, '0-10': 228.2}"
21,"{'10-20': 7.9, '0-10': 9.7, '20-30': 6.8}","{'10-20': 536.5, '0-10': 483.29999999999995, '20-30': 742.1}","{'10-20': 445.5, '0-10': 343.8, '20-30': 563.1}"
22,"{'10-20': 9, '0-10': 7.2}","{'10-20': 421.5, '0-10': 318.70000000000005}","{'10-20': 523.2, '0-10': 340.7}"
23,"{'10-20': 5.800000000000001, '0-10': 6.6}","{'10-20': 459.6, '0-10': 439.9}","{'10-20': 352.7, '0-10': 258.7}"
24,"{'10-20': 9.1, '0-10': 6.5, '20-30': 6}","{'10-20': 583.7, '0-10': 502.5, '20-30': 552.8}","{'10-20': 414.2, '0-10': 279.1, '20-30': 475.5}"
25,"{'10-20': 5.6, '0-10': 3.9}","{'10-20': 344.3, '0-10': 274.8}","{'10-20': 268.6, '0-10': 233}"
26,"{'10-20': 0.5, '0-10': 0.2, '20-30': 0.1}","{'10-20': 409, '0-10': 258.9, '20-30': 648}","{'10-20': 324.9, '0-10': 183.5, '20-30': 376.4}"
27,"{'10-20': 0.4, '0-10': 0}","{'10-20': 413.3, '0-10': 290.6}","{'10-20': 275.79999999999995, '0-10': 233.6}"
28,"{'10-20': 0.30000000000000004, '0-10': 0.1, '20-30': 0.7}","{'10-20': 265.9, '0-10': 222.9, '20-30': 593.2}","{'10-20': 197.3, '0-10': 125.3, '20-30': 338.4}"
29,"{'10-20': 4.1, '0-10': 6.1, '30-end': 5.8, '20-30': 5.1}","{'10-20': 315.9, '0-10': 360.5, '30-end': 327.2, '20-30': 482.5}","{'10-20': 294.6, '0-10': 252.70000000000002, '30-end': 331.4, '20-30': 352.8}"
30,"{'10-20': 1.7, '0-10': 0.1}","{'10-20': 387.20000000000005, '0-10': 267.7}","{'10-20': 374.7, '0-10': 257.5}"
31,{'0-10': 1.6},{'0-10': 322.5},{'0-10': 268.3}
32,"{'10-20': 0.9, '0-10': 0.1, '20-30': 0.30000000000000004}","{'10-20': 266.6, '0-10': 273.2, '20-30': 442.4}","{'10-20': 296.8, '0-10': 236.7, '20-30': 188.5}"
33,"{'10-20': 0.7, '0-10': 0.6}","{'10-20': 348.2, '0-10': 294}","{'10-20': 291.4, '0-10': 272.2}"
34,"{'10-20': 0.2, '0-10': 0.30000000000000004}","{'10-20': 409.4, '0-10': 300.3}","{'10-20': 484, '0-10': 245.89999999999998}"
35,"{'10-20': 0.4, '0-10': 0.3}","{'10-20': 374.9, '0-10': 299}","{'10-20': 337.2, '0-10': 174.60000000000002}"
36,"{'10-20': 1, '0-10': 1.4, '20-30': 0.4}","{'10-20': 372.3, '0-10': 252.8, '20-30': 451.4}","{'10-20': 316.2, '0-10': 174.9, '20-30': 244.3}"
37,"{'10-20': 0.30000000000000004, '0-10': 0.2, '20-30': 1.1}","{'10-20': 281.5, '0-10': 311.20000000000005, '20-30': 619.9}","{'10-20': 316.3, '0-10': 179.5, '20-30': 434.1}"
38,"{'10-20': 0.8, '0-10': 0.4}","{'10-20': 311.5, '0-10': 222.2}","{'10-20': 274.70000000000005, '0-10': 194.8}"
39,{'0-10': 0.3},{'0-10': 321.2},{'0-10': 212.5}
40,"{'10-20': 0.8, '0-10': 0.1, '20-30': 0.8999999999999999}","{'10-20': 365.20000000000005, '0-10': 269.6, '20-30': 498.29999999999995}","{'10-20': 305.2, '0-10': 252.3, '20-30': 367.1}"
41,{'0-10': 0.1},{'0-10': 428.59999999999997},{'0-10': 390.6}
42,{'0-10': 8.6},{'0-10': 470.20000000000005},{'0-10': 293.1}
43,"{'10-20': 4.7, '0-10': 7.4}","{'10-20': 454.29999999999995, '0-10': 509.90000000000003}","{'10-20': 562.2, '0-10': 324.9}"
44,"{'10-20': 0.2, '0-10': 0.30000000000000004, '20-30': 0.6}","{'10-20': 281.7, '0-10': 319.5, '20-30': 390.40000000000003}","{'10-20': 302.2, '0-10': 139.10000000000002, '20-30': 305.29999999999995}"
45,"{'10-20': 0.30000000000000004, '0-10': 0.3}","{'10-20': 322.5, '0-10': 273.5}","{'10-20': 315.9, '0-10': 193.4}"
46,"{'10-20': 1.7000000000000002, '0-10': 1.1}","{'10-20': 401.6, '0-10': 219.3}","{'10-20': 201.1, '0-10': 161.4}"
47,{'0-10': 0.8999999999999999},{'0-10': 230.10000000000002},{'0-10': 222}
