,creeps,xp,gold
0,"{'10-20': 3.5, '0-10': 5.5, '30-end': 4.5, '20-30': 3.4000000000000004}","{'10-20': 343.9, '0-10': 473.6, '30-end': 633.3, '20-30': 520.2}","{'10-20': 327.79999999999995, '0-10': 247.89999999999998, '30-end': 388.8, '20-30': 526.9}"
1,"{'10-20': 0.9, '0-10': 1.2}","{'10-20': 992.7, '0-10': 636.4000000000001}","{'10-20': 485.8, '0-10': 468.6}"
2,"{'10-20': 1.1, '0-10': 0.1, '30-end': 4.8, '20-30': 3.5}","{'10-20': 491.8, '0-10': 282.5, '30-end': 540, '20-30': 629.9}","{'10-20': 459.3, '0-10': 258.4, '30-end': 517, '20-30': 532.3}"
3,"{'10-20': 3.5, '0-10': 4.1}","{'10-20': 397.5, '0-10': 400.3}","{'10-20': 333.29999999999995, '0-10': 223.8}"
4,"{'10-20': 2.2, '0-10': 0.9}","{'10-20': 1072, '0-10': 813.2}","{'10-20': 575, '0-10': 517.4}"
5,"{'10-20': 4.7, '0-10': 1.6}","{'10-20': 1268.5, '0-10': 699.1}","{'10-20': 742.3, '0-10': 511.4}"
6,"{'10-20': 2.8, '0-10': 2.6}","{'10-20': 896.4, '0-10': 711.2}","{'10-20': 549.4, '0-10': 544.9}"
7,"{'10-20': 5.2, '0-10': 4.3, '30-end': 7.266666666666666, '20-30': 5.2}","{'10-20': 408.9, '0-10': 465.5, '30-end': 675.4666666666666, '20-30': 483.7}","{'10-20': 236.5, '0-10': 231.2, '30-end': 386.2, '20-30': 311.6}"
8,"{'10-20': 2.5, '0-10': 1.5, '30-end': 2.6, '20-30': 1.2999999999999998}","{'10-20': 299.6, '0-10': 292.3, '30-end': 201.2, '20-30': 493.4}","{'10-20': 283.5, '0-10': 155.5, '30-end': 216.4, '20-30': 289.5}"
9,"{'10-20': 1.1, '0-10': 0.4, '30-end': 0.7333333333333334, '20-30': 0.1}","{'10-20': 359.3, '0-10': 275.4, '30-end': 646.3333333333334, '20-30': 346.6}","{'10-20': 360.7, '0-10': 195, '30-end': 414.2, '20-30': 379.79999999999995}"
10,{'0-10': 0.1},{'0-10': 653.9},{'0-10': 384.1}
11,{'0-10': 1.6},{'0-10': 651},{'0-10': 480}
12,{'0-10': 2.1},{'0-10': 723.4},{'0-10': 528.6}
13,{'0-10': 2.1},{'0-10': 766.3},{'0-10': 569.5}
14,{'0-10': 0.7},{'0-10': 504},{'0-10': 398.7}
15,"{'10-20': 3.9, '0-10': 3.8}","{'10-20': 313.1, '0-10': 381.6}","{'10-20': 210, '0-10': 180.3}"
16,"{'10-20': 0.7, '0-10': 0.5}","{'10-20': 514.8, '0-10': 353.7}","{'10-20': 461.90000000000003, '0-10': 235.6}"
17,"{'10-20': 3.5, '0-10': 1.5}","{'10-20': 1043.1, '0-10': 670}","{'10-20': 656.2, '0-10': 462}"
18,{'0-10': 1.7000000000000002},{'0-10': 801.5},{'0-10': 615}
19,"{'10-20': 5, '0-10': 7.3, '30-end': 5.9, '20-30': 5.699999999999999}","{'10-20': 433.3, '0-10': 504.9, '30-end': 608.3, '20-30': 489.2}","{'10-20': 511.70000000000005, '0-10': 294.2, '30-end': 478.70000000000005, '20-30': 358.6}"
20,"{'10-20': 0.5, '0-10': 0.4, '20-30': 1.2}","{'10-20': 309.1, '0-10': 302, '20-30': 556.5}","{'10-20': 221.3, '0-10': 137.9, '20-30': 256.6}"
21,"{'10-20': 0.6, '0-10': 0.3, '20-30': 0.1}","{'10-20': 299.7, '0-10': 253.60000000000002, '20-30': 413.70000000000005}","{'10-20': 338, '0-10': 238.1, '20-30': 360}"
22,"{'10-20': 1.3, '0-10': 1.1}","{'10-20': 944.7, '0-10': 696.0999999999999}","{'10-20': 470.5, '0-10': 478.9}"
23,"{'10-20': 0.8, '0-10': 1}","{'10-20': 926.8000000000001, '0-10': 622.4000000000001}","{'10-20': 558.3, '0-10': 487.2}"
24,"{'10-20': 6.2, '0-10': 5.4}","{'10-20': 388.1, '0-10': 299.8}","{'10-20': 445.70000000000005, '0-10': 296.6}"
25,"{'10-20': 5.9, '0-10': 4.6, '30-end': 2, '20-30': 3.4}","{'10-20': 490.4, '0-10': 381.6, '30-end': 439.6, '20-30': 321.2}","{'10-20': 376.20000000000005, '0-10': 258.6, '30-end': 274.8, '20-30': 243.10000000000002}"
26,"{'10-20': 6.1, '0-10': 4.1}","{'10-20': 514.1, '0-10': 391.9}","{'10-20': 307.20000000000005, '0-10': 211.5}"
27,"{'10-20': 1, '0-10': 0.5, '30-end': 0.4, '20-30': 1.7}","{'10-20': 425.4, '0-10': 219.39999999999998, '30-end': 419.4, '20-30': 481.79999999999995}","{'10-20': 287.6, '0-10': 213.29999999999998, '30-end': 339.6, '20-30': 359.8}"
28,"{'10-20': 1.5999999999999999, '0-10': 0.1}","{'10-20': 443.20000000000005, '0-10': 240.5}","{'10-20': 328.4, '0-10': 198.39999999999998}"
29,{'0-10': 0.8},{'0-10': 760.3},{'0-10': 502.8}
30,{'0-10': 0.5},{'0-10': 633.9},{'0-10': 440.6}
31,"{'10-20': 5.2, '0-10': 6.6, '20-30': 2.7}","{'10-20': 549.2, '0-10': 453.6, '20-30': 333.7}","{'10-20': 459.4, '0-10': 288.2, '20-30': 280.70000000000005}"
32,"{'10-20': 2.5, '0-10': 0.1, '20-30': 8.5}","{'10-20': 635.7, '0-10': 290.1, '20-30': 793.7}","{'10-20': 496, '0-10': 236.6, '20-30': 616.7}"
